Date,Time,Open,High,Low,Close,Volume
2023-07-03,09:15:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:18:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:21:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:24:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:27:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:30:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:33:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:36:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:39:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:42:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:45:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:48:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:51:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:54:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,09:57:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,10:00:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,10:03:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,10:06:00,23.0,23.0,23.0,23.0,0.0
2023-07-03,10:09:00,23.0,23.0,6.2,6.2,50.0
2023-07-03,10:12:00,6.2,7.0,6.2,7.0,150.0
2023-07-03,10:15:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:18:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:21:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:24:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:27:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:30:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:33:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:36:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:39:00,7.0,7.0,7.0,7.0,0.0
2023-07-03,10:42:00,7.0,7.0,5.95,6.55,100.0
2023-07-03,10:45:00,6.55,6.55,6.55,6.55,0.0
2023-07-03,10:48:00,6.55,6.55,6.55,6.55,150.0
2023-07-03,10:51:00,6.55,7.25,6.45,6.45,500.0
2023-07-03,10:54:00,7.25,7.25,6.45,6.45,150.0
2023-07-03,10:57:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:00:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:03:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:06:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:09:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:12:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:15:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:18:00,6.45,6.45,6.45,6.45,0.0
2023-07-03,11:21:00,6.35,6.35,6.15,6.15,100.0
2023-07-03,11:24:00,6.15,6.15,6.15,6.15,0.0
2023-07-03,11:27:00,6.15,6.15,6.15,6.15,0.0
2023-07-03,11:30:00,6.15,6.15,5.75,5.75,200.0
2023-07-03,11:33:00,5.75,5.75,5.75,5.75,0.0
2023-07-03,11:36:00,5.75,5.75,5.75,5.75,0.0
2023-07-03,11:39:00,5.75,5.75,5.75,5.75,0.0
2023-07-03,11:42:00,5.75,5.75,5.75,5.75,0.0
2023-07-03,11:45:00,5.75,5.75,5.75,5.75,0.0
2023-07-03,11:48:00,5.75,5.75,5.75,5.75,0.0
